compCorp;altDorso;largPeito;altGarupa;compEspadua;compDorsLomb;altCernelha;largAncas;relacaoDorsoGarupa;relacaoAltCernelhaCorpo;relacaoAncasDorso;sexo
1.41;1.33;0.3;1.35;0.44;0.52;1.36;0.4;0.985185185;0.964539007;0.30075188;0
1.39;1.31;0.26;1.35;0.46;0.46;1.35;0.42;0.97037037;0.971223022;0.320610687;0
1.37;1.37;0.27;1.38;0.45;0.48;1.37;0.38;0.992753623;1;0.277372263;0
1.51;1.36;0.38;1.45;0.62;0.67;1.43;0.46;0.937931034;0.947019868;0.338235294;1
1.44;1.35;0.31;1.41;0.55;0.56;1.4;0.45;0.957446809;0.972222222;0.333333333;1
1.41;1.41;0.3;1.45;0.49;0.57;1.45;0.42;0.972413793;1.028368794;0.29787234;0
1.39;1.31;0.31;1.39;0.54;0.63;1.36;0.42;0.942446043;0.978417266;0.320610687;1
1.33;1.31;0.32;1.33;0.46;0.45;1.3;0.45;0.984962406;0.977443609;0.34351145;0
1.41;1.36;0.32;1.4;0.54;0.56;1.38;0.42;0.971428571;0.978723404;0.308823529;1
1.43;1.37;0.31;1.42;0.52;0.55;1.41;0.45;0.964788732;0.986013986;0.328467153;1
1.48;1.41;0.36;1.42;0.58;0.61;1.42;0.45;0.992957746;0.959459459;0.319148936;0
1.48;1.31;0.36;1.39;0.58;0.64;1.37;0.45;0.942446043;0.925675676;0.34351145;1
1.43;1.4;0.32;1.44;0.56;0.55;1.41;0.43;0.972222222;0.986013986;0.307142857;1
1.35;1.33;0.33;1.34;0.44;0.48;1.33;0.42;0.992537313;0.985185185;0.315789474;0
1.44;1.34;0.38;1.43;0.69;0.65;1.4;0.48;0.937062937;0.972222222;0.358208955;0
1.4;1.31;0.33;1.41;0.56;0.64;1.37;0.46;0.929078014;0.978571429;0.351145038;1
1.43;1.35;0.32;1.41;0.54;0.51;1.42;0.42;0.957446809;0.993006993;0.311111111;0
1.45;1.38;0.39;1.45;0.48;0.68;1.43;0.48;0.951724138;0.986206897;0.347826087;0
1.41;1.38;0.28;1.39;0.44;0.51;1.38;0.4;0.992805755;0.978723404;0.289855072;0
1.44;1.42;0.37;1.44;0.49;0.41;1.32;0.46;0.986111111;0.916666667;0.323943662;1
1.41;1.36;0.36;1.4;0.56;0.54;1.38;0.4;0.971428571;0.978723404;0.294117647;1
1.45;1.4;0.35;1.45;0.57;0.55;1.43;0.41;0.965517241;0.986206897;0.292857143;0
1.38;1.33;0.26;1.37;0.43;0.52;1.35;0.42;0.97080292;0.97826087;0.315789474;0
1.48;1.42;0.36;1.49;0.49;0.48;1.49;0.47;0.953020134;1.006756757;0.330985915;0
1.38;1.35;0.29;1.38;0.45;0.55;1.36;0.4;0.97826087;0.985507246;0.296296296;0
1.33;1.29;0.32;1.35;0.48;0.5;1.31;0.42;0.955555556;0.984962406;0.325581395;0
1.41;1.41;0.3;1.45;0.49;0.57;1.45;0.42;0.972413793;1.028368794;0.29787234;0
1.43;1.31;0.3;1.35;0.45;0.45;1.35;0.41;0.97037037;0.944055944;0.312977099;0
1.42;1.36;0.29;1.39;0.48;0.53;1.4;0.4;0.978417266;0.985915493;0.294117647;0
1.3;1.32;0.29;1.35;0.45;0.55;1.35;0.42;0.977777778;1.038461538;0.318181818;0
1.44;1.34;0.37;1.4;0.5;0.55;1.4;0.39;0.957142857;0.972222222;0.291044776;0
1.41;1.38;0.37;1.42;0.54;0.5;1.41;0.41;0.971830986;1;0.297101449;0
1.44;1.43;0.36;1.49;0.49;0.49;1.49;0.47;0.959731544;1.034722222;0.328671329;0
1.45;1.37;0.34;1.4;0.42;0.52;1.38;0.46;0.978571429;0.951724138;0.335766423;0
1.46;1.4;0.36;1.43;0.59;0.5;1.44;0.44;0.979020979;0.98630137;0.314285714;0
1.4;1.32;0.26;1.37;0.47;0.45;1.36;0.45;0.96350365;0.971428571;0.340909091;0
1.46;1.37;0.33;1.43;0.54;0.53;1.41;0.46;0.958041958;0.965753425;0.335766423;1
1.43;1.34;0.35;1.42;0.54;0.61;1.41;0.48;0.943661972;0.986013986;0.358208955;1
1.45;1.37;0.33;1.36;0.47;0.46;1.36;0.46;1.007352941;0.937931034;0.335766423;0
1.45;1.37;0.39;1.43;0.52;0.56;1.41;0.47;0.958041958;0.972413793;0.343065693;1
1.42;1.41;0.36;1.38;0.57;0.63;1.4;0.43;1.02173913;0.985915493;0.304964539;0
1.4;1.34;0.31;1.36;0.47;0.47;1.36;0.45;0.985294118;0.971428571;0.335820896;0
